Day 1, Spring 3, Egg 4, Sausage 7, Jelly 0, Pastry 0, Outages 1
Day 15, Spring 17, Egg 0, Sausage 4, Jelly 0, Pastry 0, Outages 16
Day 16, Spring 12, Egg 53, Sausage 0, Jelly 54, Pastry 59, Outages 3
Day 17, Spring 2, Egg 38, Sausage 54, Jelly 52, Pastry 51, Outages 3
Day 18, Spring 1, Egg 28, Sausage 48, Jelly 41, Pastry 43, Outages 2
Day 19, Spring 0, Egg 21, Sausage 41, Jelly 34, Pastry 38, Outages 6
Day 20, Spring 44, Egg 9, Sausage 21, Jelly 15, Pastry 19, Outages 1
Day 21, Spring 33, Egg 3, Sausage 5, Jelly 5, Pastry 11, Outages 2
Day 22, Spring 2, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 8
Day 23, Spring 0, Egg 47, Sausage 48, Jelly 46, Pastry 44, Outages 14
Day 24, Spring 22, Egg 3, Sausage 1, Jelly 7, Pastry 0, Outages 0
Day 25, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 41, Outages 8
Day 26, Spring 20, Egg 27, Sausage 21, Jelly 18, Pastry 3, Outages 0
Day 27, Spring 9, Egg 12, Sausage 6, Jelly 13, Pastry 2, Outages 1
Day 28, Spring 4, Egg 7, Sausage 5, Jelly 8, Pastry 1, Outages 1
Day 29, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 6
Day 30, Spring 29, Egg 24, Sausage 23, Jelly 29, Pastry 27, Outages 0
